20분전부산대강수량,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
0.94,0.94322306,0.94649426,0.9496507,0.95266766,0.9554587,0.94,2015-02-09 16:10
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2016-12-05 6:20
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2016-04-09 8:40
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2015-12-08 16:50
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2013-09-27 7:10
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.03,2014-11-16 14:40
1.12,1.11753308,1.11519368,1.1131042,1.11130868,1.1097916,1.1,2015-07-11 21:40
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.03,2014-04-12 0:10
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2015-12-06 12:40
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.99,2014-02-21 2:00
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.1,2014-11-03 8:40
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2013-05-19 21:00
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.02,2015-08-10 0:50
1.61,1.59204369,1.57443099,1.55806095,1.54316479,1.52992005,1.58,2015-05-12 12:20
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2015-01-17 9:10
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2015-06-06 10:20
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.97,2015-12-05 22:30
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2013-08-27 3:50
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.04,2014-06-18 19:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2014-09-29 18:50
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.97,2014-02-22 15:40
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,1,2014-12-05 22:20
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2013-08-21 15:50
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.01,2015-09-16 5:20
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2015-03-15 12:40
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2016-07-18 10:30
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.02,2016-09-15 20:30
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.09,2016-02-21 9:00
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2015-10-16 16:10
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2013-02-05 14:30
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2016-08-21 12:50
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2015-12-09 19:50
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-01-08 13:00
1.19,1.18532031,1.18079901,1.17666945,1.17300241,1.16980995,1.2,2015-04-07 19:30
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2013-12-15 23:20
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1.02,2014-10-01 9:50
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.06,2016-08-13 1:00
1.11,1.10784919,1.10582149,1.10402345,1.10249529,1.10121755,1.11,2015-05-27 7:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-07-14 1:10
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2015-11-24 12:50
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2015-06-18 10:20
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2013-10-15 5:50
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-09-14 11:10
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,1,2014-04-04 15:30
0.93,0.93353917,0.93712207,0.94056995,0.94385427,0.94688465,0.92,2015-01-23 6:30
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.08,2013-04-28 12:40
1.14,1.13690086,1.13393806,1.1312657,1.12893546,1.1269397,1.14,2013-06-12 22:10
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.05,2013-07-23 15:50
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.06,2016-10-14 22:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2015-08-17 17:50
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2013-09-28 9:10
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2015-11-03 16:20
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.05,2015-09-29 23:50
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.94,2013-12-18 20:30
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2014-10-24 19:30
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.97,2013-10-18 5:30
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.06,2013-07-27 18:00
1.55,1.53394035,1.51819785,1.50357645,1.49028445,1.47847575,1.43,2016-09-28 19:00
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.08,2016-02-20 8:30
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.06,2013-07-18 4:00
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2015-05-27 19:40
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2013-10-19 20:30
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.04,2013-09-04 14:40
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2013-08-14 22:10
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-01-09 20:00
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.97,2016-12-12 21:10
0.93,0.93353917,0.93712207,0.94056995,0.94385427,0.94688465,0.93,2015-03-08 15:10
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2013-12-09 21:30
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2014-04-11 0:20
1.11,1.10784919,1.10582149,1.10402345,1.10249529,1.10121755,1.11,2014-06-03 7:20
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.94,2013-12-14 2:50
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,1,2016-08-23 23:20
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2014-03-18 21:10
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1.01,2014-04-17 5:40
1.93,1.90644887,1.87823697,1.85176165,1.82761967,1.8056458,1.69,2013-09-29 22:10
1.48,1.46615312,1.45259252,1.4400112,1.42859072,1.4184574,1.42,2014-08-15 6:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.06,2014-09-26 21:30
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.99,2013-02-13 23:10
1.15,1.14658475,1.14331025,1.14034645,1.13774885,1.13551375,1.15,2015-04-11 15:00
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.96,2013-10-27 7:00
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2014-06-26 2:40
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2014-03-19 23:30
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.04,2015-07-03 5:50
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1,2015-09-30 17:20
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-07-17 7:30
