s,10분전부산대강수량,현재부산대강수량,10분전신천교강수량,현재신천교강수량,현재세병교수위,30분뒤수위,날짜
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.1,2014-11-10 8:10
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,1.01,2014-10-17 6:20
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2014-06-16 20:00
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.05,2016-09-07 17:10
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.98,2013-12-26 10:00
0.93,0.93353917,0.93712207,0.94056995,0.94385427,0.94688465,0.98,2015-02-23 8:10
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2016-10-31 5:10
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2015-08-20 11:40
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2016-10-26 13:40
1,1.00823465,1.0141676,1.01558205,1.0165517,1.01743755,1.01,2015-03-03 10:30
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-02-21 23:50
1.31,1.30152699,1.29326529,1.28563845,1.27876309,1.27269855,1.29,2015-05-13 2:10
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2015-06-22 7:20
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2014-05-18 22:20
0.92,0.92385528,0.92774988,0.9314892,0.93504088,0.9383106,0.92,2015-02-19 19:20
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2016-12-09 17:50
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.03,2014-07-16 4:40
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1.04,2014-08-01 9:50
1.14,1.13690086,1.13393806,1.1312657,1.12893546,1.1269397,1.13,2015-08-21 17:10
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.22,2016-07-08 9:30
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,1.04,2016-08-08 23:30
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2016-10-28 19:30
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.1,2013-05-19 19:20
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2014-11-01 14:50
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.05,2013-03-14 15:00
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.08,2014-05-22 6:00
1.16,1.15626864,1.15268244,1.1494272,1.14656224,1.1440878,1.16,2015-04-16 7:50
1.24,1.23373976,1.22765996,1.2220732,1.21706936,1.2126802,1.24,2015-05-19 9:00
1.29,1.28215921,1.27452091,1.26747695,1.26113631,1.25555045,1.29,2015-12-15 10:40
1.24,1.23373976,1.22765996,1.2220732,1.21706936,1.2126802,1.24,2014-08-05 5:30
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.04,2016-07-19 17:00
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2015-11-19 3:00
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-01-05 20:40
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2016-10-31 17:10
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2016-12-29 9:50
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.99,2014-02-05 20:20
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.05,2016-09-15 1:40
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,0.99,2014-12-13 2:20
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.99,2013-09-16 4:50
1.12,1.11753308,1.11519368,1.1131042,1.11130868,1.1097916,1.13,2015-12-14 12:20
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2016-12-24 16:20
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-04-09 15:10
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.96,2015-01-25 21:40
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2014-12-07 3:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2013-08-19 14:40
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2015-05-05 20:30
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2015-06-23 22:10
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2014-09-10 9:50
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2014-05-11 21:40
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.06,2014-09-13 23:50
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.08,2016-11-21 6:00
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2016-10-22 12:40
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-07-31 23:30
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.99,2015-02-21 0:40
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2013-09-14 11:50
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,1,2013-02-22 7:20
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-07-26 8:10
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.02,2014-11-26 16:10
1.17,1.16595253,1.16205463,1.15850795,1.15537563,1.15266185,1.17,2016-06-17 3:50
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.08,2015-07-03 8:10
1.22,1.21437198,1.20891558,1.2039117,1.19944258,1.1955321,1.21,2015-04-14 13:40
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-05-21 15:00
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.07,2014-11-07 5:10
0.93,0.93353917,0.93712207,0.94056995,0.94385427,0.94688465,0.93,2014-12-05 7:30
1.08,1.07879752,1.07770492,1.0767812,1.07605512,1.0754954,1.07,2016-03-12 15:20
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2015-09-29 19:10
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.01,2015-02-25 12:40
0.94,0.94322306,0.94649426,0.9496507,0.95266766,0.9554587,0.94,2014-03-22 6:50
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.07,2014-03-26 4:40
1.11,1.10784919,1.10582149,1.10402345,1.10249529,1.10121755,1.06,2015-08-18 22:10
1.06,1.05942974,1.05896054,1.0586197,1.05842834,1.0583473,1.06,2013-04-08 13:10
1.4,1.388682,1.377615,1.3673652,1.3580836,1.349865,1.37,2016-07-05 3:20
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2016-09-08 19:20
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.02,2016-06-30 4:30
1.16,1.15626864,1.15268244,1.1494272,1.14656224,1.1440878,1.16,2014-08-29 3:40
1,1.0013264,1.0027274,1.0041352,1.005548,1.006903,1,2016-08-26 19:00
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2015-01-31 23:30
1.13,1.12721697,1.12456587,1.12218495,1.12012207,1.11836565,1.15,2016-06-16 7:40
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1,2013-10-24 21:00
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-06-09 13:40
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2014-06-20 7:30
1.1,1.0981653,1.0964493,1.0949427,1.0936819,1.0926435,1.1,2014-09-06 10:50
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,1.02,2016-11-01 10:00
1.04,1.04006196,1.04021616,1.0404582,1.04080156,1.0411992,1.04,2013-04-13 9:40
1.18,1.18329322,1.18127542,1.18011605,1.18153842,1.1825941,1.2,2015-04-06 2:30
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-05-25 13:10
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.96,2013-12-29 19:50
1.09,1.08848141,1.08707711,1.08586195,1.08486851,1.08406945,1.09,2014-05-18 7:30
0.98,0.98195862,0.98398302,0.9859737,0.98792122,0.9897549,0.98,2013-01-15 23:30
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,0.99,2015-10-22 17:50
0.96,0.96259084,0.96523864,0.9678122,0.97029444,0.9726068,0.95,2014-01-22 7:10
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-06-11 15:10
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1.01,2014-03-31 23:00
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2016-09-15 5:10
0.97,0.97227473,0.97461083,0.97689295,0.97910783,0.98118085,0.97,2014-04-10 21:00
0.95,0.95290695,0.95586645,0.95873145,0.96148105,0.96403275,0.95,2014-03-12 7:30
1.01,1.01101029,1.01209959,1.01321595,1.01436139,1.01547705,1,2016-08-23 19:30
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.02,2013-11-30 15:30
1.02,1.02069418,1.02147178,1.0222967,1.02317478,1.0240511,1.01,2016-11-27 16:50
1.03,1.03037807,1.03084397,1.03137745,1.03198817,1.03262515,1.03,2013-04-01 18:20
0.99,0.99164251,0.99335521,0.99505445,0.99673461,0.99832895,0.98,2016-03-27 5:30
1.23,1.22405587,1.21828777,1.21299245,1.20825597,1.20410615,1.24,2015-04-15 2:00
1.18,1.17563642,1.17142682,1.1675887,1.16418902,1.1612359,1.18,2016-06-07 23:00
1.07,1.06911363,1.06833273,1.06770045,1.06724173,1.06692135,1.07,2015-06-14 1:50
0.94,0.94322306,0.94649426,0.9496507,0.95266766,0.9554587,0.94,2016-11-02 5:50
1.11,1.10784919,1.10582149,1.10402345,1.10249529,1.10121755,1.11,2014-08-31 5:40
1.03,1.03728632,1.04228417,1.0428243,1.04299187,1.0431597,1.03,2016-07-12 14:30
1.05,1.04974585,1.04958835,1.04953895,1.04961495,1.04977325,1.05,2013-08-05 6:10
3.54,3.46103446,3.38326366,3.3106457,3.24414906,3.1847117,3.16,2014-08-25 17:40
